href,title,compound,layout,gross_floor_area,distribute,road,floor,orientation,rent_per_month,added_at,total_views,subway_line,subway_station,subway_distance,number,address,latest_week_views,room_type,img_url,captured_at
http://sh.lianjia.com/zufang/shz4138187.html,黎明花园，精致户型，有钥匙房源，光线充足,黎明花园,2室1厅,69,闵行,七宝,中区/6层,朝南,4500,2017.08.05,24,9,七宝,923,shz4138187,七莘路2465弄30支弄,3,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/8be76423-4809-4b12-887a-81b272c410ae.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/5ba0d093-e7bd-4aa5-b0b6-c6873413c8dc.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/eddd06a2-481c-4d80-8fe5-17eaae0cc266.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160524/011321d3-1540-475b-95eb-a26bf7f90567.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/e2963a2c-3fe0-4e79-a72b-a638ff1d7199.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/ea4c35ef-1353-433a-8e00-f0f00e15259e.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/df497c5d-abf0-414a-b342-2120448fbbd1.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/081f6bf8-f9f9-46fb-bf81-156f5faea3ea.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/d7adab8b-2d95-4ce6-aee3-5c5aaea079c1.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/619ed386-978c-4d0a-8b1e-f4aa38653187.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/3a8a15cc-1bd8-4ce7-a640-63cb3a6b2b96.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/7b8e49ea-d860-49a6-b520-36a278716105.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/9e40ddc5-2f03-4550-a2c7-dc2e16e49d49.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/59811a4b-e03f-48f4-95e5-5eb25d7dc051.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170922/7175aa2f-ada2-4b6f-b670-e62ec4ffe6f3.jpg_100x75.jpg",2017-10-07 18:03:47
http://sh.lianjia.com/zufang/shz4136323.html,温馨一室，高清大图，交通便利，钥匙在店,淡水湾花园,1室1厅,54,黄浦,新天地,中区/29层,朝南,10000,2017.08.04,28,9,马当路,213,shz4136323,马当路588弄,5,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/927dd55b-b38b-4e7a-aa8e-610d4172a380.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/c2afb6c4-1442-4e00-bd4a-ebec85a76522.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/83746be9-61e6-4eec-8d33-738272349896.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20141205/5581958c-ee43-422b-9037-2bcf508fe894.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/03c350cc-07bb-44db-9253-d5fdd0ee90f3.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/5854b02b-dc39-45b8-9a06-d9c6c5e03000.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/0fa5d864-56de-4bcb-be10-d590f0c6e1d6.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/f4895b2c-0f8b-498f-8fca-6183b9a60dc7.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/c6747c8e-3790-420a-861a-e8e4d489c1d7.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/cc69acc3-ce53-423e-9b20-45d90577cb41.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/8aa1d992-5b50-4753-83ea-c21d598b331c.jpg_100x75.jpg",2017-10-07 18:03:48
http://sh.lianjia.com/zufang/shz4139301.html,思南路115弄，实地看房，2室0厅1卫，高清大图,思南路115弄,2室0厅,38,黄浦,打浦桥,中区/7层,朝东,6800,2017.08.05,18,9,打浦桥,360,shz4139301,思南路115弄,3,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/5a72018a-ef86-4ad2-873d-8d164d56b0bd.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/ec4826a6-f12c-49c7-abac-3d8a2617e544.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/cdfb033c-903a-4aa7-bd83-99ec27b02b74.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160407/b6b0c288-86d8-4506-8a6e-db8ed5a7c09f.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/7eb34edf-813e-4d44-bafe-4dc1b5926a5a.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/11930034-5fec-4e6f-937e-6d00c88e4ae0.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/91e8a9e5-61c6-4028-aa46-7c05d4c00c58.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/75b625e0-4ef5-4681-adfb-167a6e6add47.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/9a87dc9f-8217-464c-ac8f-0284ccc13852.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/06aa4377-9a7a-444f-9a56-b3a2eefa4518.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/e9f0f926-03bb-46ef-ac72-7fb8bc6a3a62.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/937bc029-f351-4ddc-a898-587462392ac2.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/dc6ed247-e0ad-4d10-a898-747f7f556635.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/94f2817a-6f56-42da-b494-c44ea3e37794.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/9638ee0b-89f7-44d2-bc19-288c4ff5cf2d.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160329/e9d458a4-1158-47d8-b04e-b6ffedcb6114.jpg_100x75.jpg",2017-10-07 18:03:49
http://sh.lianjia.com/zufang/shz4136314.html,采光棒，链家好房，高清大图，两室户,柳营路629弄,2室1厅,51,闸北,大宁,高区/6层,,4500,2017.08.04,18,1,中山北路,684,shz4136314,柳营路629弄,3,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20170806/877b579e-c9f0-43db-8a6f-4df9e7abf2a9.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170806/6cf8be53-ce8b-46d4-bf9b-14082dc528a7.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170806/5df5eb1a-5f59-4461-9c63-2f6021723853.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160511/52a30b3d-203f-4717-a501-e9f45a8823bd.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170806/64933c54-6254-4e0b-b153-54e139b8932b.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170806/b8df3983-748a-40fe-bb93-0edf445f2374.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170806/cd8fa3e7-75d1-442d-be9c-e8d337238cbd.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170806/bb5573aa-0b1a-4ebe-84bf-659b79bd6635.jpg_100x75.jpg",2017-10-07 18:03:49
http://sh.lianjia.com/zufang/shz4135512.html,新凯家园，附近有地铁，好房好心情，两室户,新凯家园,2室2厅,78,松江,泗泾,中区/5层,,3600,2017.08.03,40,9,佘山,426,shz4135512,"新家园路128弄, 新家园路30弄，新家园路88弄，古楼公路1858弄",8,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/74e1bbb4-9180-47e4-b2b8-ab0554f0a98f.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/ae29a2b9-3cf4-4e49-b7e4-3a83375ada9d.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/8c9005a5-9a66-4a1b-b1ad-a2dd526afc22.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160513/3c8affa6-6649-43a0-922c-f3b439afd589.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/ca8c658a-8285-4ead-bf7b-d55c43ffb87d.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/d40d2fff-43fb-4cd4-8d2b-e5c692ad5d10.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/17004f48-e7f3-4e5a-b9b7-4043c25c2f1e.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/96e5ec87-4ddc-4953-8688-1c8a06421390.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/720cb84c-ecab-488c-8be9-bc6ea73a8a96.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/c9da9cce-7852-45d9-97ca-75587face140.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/7450fa6e-e284-42fa-9a60-ca917b9bf501.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/cd2fc475-8526-43b5-b2a9-978ddba79be4.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/39fc29ab-c278-4982-a832-7af2f2c8fbf1.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/20a8c445-c200-47d9-9328-cdcb6e5962d6.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/4a4e93e0-ea91-4c89-bda4-406a7c790f47.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/ec95725d-d999-46c8-a0ce-603b96e4175b.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/02cbf562-4f36-4cc8-a73a-cc1fe17d175a.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/860eff55-56f3-4797-802a-a54fa70fb7da.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160112/e8e475b1-e076-4e12-8cd1-3e98546ce380.jpg_100x75.jpg",2017-10-07 18:03:50
http://sh.lianjia.com/zufang/shz4135998.html,高清实拍，多次带看，钥匙在店，2室1厅,新长征花苑,2室1厅,64,普陀,长征,中区/6层,,5500,2017.08.04,10,13,祁连山南路,611,shz4135998,"清峪路81弄,清峪路130弄",0,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/8943d115-af2c-49fc-a53d-49bf86479bfd.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/0dcfaf8f-8656-485f-8d25-744f2b4cf15b.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/90adb982-f29b-4e06-952e-b0327ecc0227.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/8e7442c2-a604-464f-8f05-d4a22f4719d9.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/952dbdf5-c82c-44d7-a972-217358453587.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/9c2343df-ec30-4195-9a40-403ad14f8e07.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/c13a8c50-5b14-4b65-bb28-b472e4a39271.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/87a5f6b2-3724-411b-92ac-6baca226b452.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/cd54173a-63d1-4852-b99c-6fd7f6d403aa.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/564d0d6a-e206-47b3-a3fa-ca56e2f51fa1.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/3eb05d50-3405-4dbd-b7f5-746acbdcf233.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/779074b6-e38a-4c24-92bd-3370e83f44a6.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/f6c3f79c-01a7-4298-88f3-3a1461d24ea4.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/b8279b0c-775f-464c-8a4f-be6aabf0759a.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/5c5479dd-c0f1-4eee-9ccd-37bf5cb0cec1.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170213/05ad8476-cc7e-418e-8d70-b1f90515ad02.jpg_100x75.jpg",2017-10-07 18:03:50
http://sh.lianjia.com/zufang/shz4135680.html,链家房源，人气房源，生活很便利，看房有钥匙,悦来小区,1室1厅,46,黄浦,黄浦滨江,中区/16层,朝东,6500,2017.08.03,15,9,小南门,386,shz4135680,悦来街38弄,4,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20170601/8f141337-8cc6-48b9-9e5e-d1794b18365f.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170601/b997cc94-2696-4faa-8cb7-0c3b6c14a0f1.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170601/558e5c11-a01a-44f6-852e-0b30b5f5e603.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160808/562502a2-8595-4a20-a328-c2ce83bdf0be.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170601/192d3e69-f51a-4084-8749-b2808a3675e5.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170601/a2271250-ca09-4c66-adfc-b36eb0f19a7f.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170601/d584ce4d-ba3d-42ad-9522-2dd51e979e4b.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170601/415c1f7f-a43d-47e6-95f1-6f64eb97047a.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170601/f4b060eb-d71d-4d71-8543-b1bb168c58d1.jpg_100x75.jpg",2017-10-07 18:03:50
http://sh.lianjia.com/zufang/shz4135838.html,小户型，最近看房多，链家有钥匙，真实在租,梅园五街坊,1室1厅,44,浦东,源深,高区/6层,朝南,5700,2017.08.03,17,4,世纪大道,384,shz4135838,"福山路111弄,松林路88弄,商城路1178弄,张杨路1133弄",2,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20160304/335dd67a-16d4-4c88-b7b2-4a883c88781e.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160304/1090fe88-c158-49d8-8b18-9937f1d7677a.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160304/5f3297fe-da9e-4fcc-8896-d07acc4a3e86.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170626/5c72ed28-6adc-48ac-b74f-e61c87533c34.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160304/9780f262-211f-4fc9-8670-54c91f6a2aaf.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160304/61b5e3b1-b894-490a-9efd-fb28ec67e518.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160304/a862dcd3-7440-42a8-aec9-f1924da91b3a.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160304/10336158-28f3-4b72-be65-dae4cefa449e.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160304/18d774a4-c716-49af-8163-e976a2ccc180.jpg_100x75.jpg",2017-10-07 18:03:51
http://sh.lianjia.com/zufang/shz4135382.html,房型正气，高清大图，出行方便，人气房源,锦秋花园（公寓）,3室1厅,105,宝山,上大,高区/6层,朝南北,5500,2017.08.03,21,7,上海大学,503,shz4135382,锦秋路699弄,1,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/ff439b6b-f8eb-4c0e-846c-ceb8e183c7bb.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/b11733a9-bfc5-49a9-8dd4-e6f231df942f.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/00070211-7ce6-40f2-91cc-8d5fd8092693.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20150715/839766d4-2887-4423-a92b-8518722e4571.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/071c3c49-0943-4987-8750-2baa7aa1f8a2.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/4794fa13-80f2-45bf-a0d6-d74375c0b7eb.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/aa9ce5eb-4eed-43ff-8dc4-2b1f44556a0c.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/56e978d3-671c-482e-8a64-d7f0a7019320.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/7a8878e5-8ac2-4f1b-a4ca-6c8708eac1d8.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/603745c3-66be-48ff-810b-9993ed66bd9b.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/bd5e59fb-1f89-43aa-a4f0-c9afce9ed1a7.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/04a54265-451b-45bc-aa19-b78c90d327e5.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/227d8774-34a3-45ce-9e6a-67b3066de8fd.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/3556c520-f031-4d34-8d30-3eb1ddc3b8f1.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/834e2ef1-6373-477c-9028-304c7d20f9f6.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/4341b176-5826-4773-ba71-c86deb870898.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/e1c3ead5-44cc-41a1-af04-cf6b7e029b40.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/80b95fad-e7c8-4d8c-abab-a86228a7d9b8.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/d0207338-1cd0-452e-98fb-d5afb56bc107.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/19b5522c-5e37-45bb-8f9a-aa3d73d2c3a9.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/9acab0aa-238d-4671-b2e4-c91986d0b007.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/f84e0080-dc20-43da-acae-94154b94c1fd.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20151022/8462ae47-03fb-4230-85ee-54161a6ff471.jpg_100x75.jpg",2017-10-07 18:03:51
http://sh.lianjia.com/zufang/shz4139194.html,有爱有家，交通方便，两室户，最近看房多,百兴花园,2室1厅,81,杨浦,东外滩,低区/24层,朝东南,6000,2017.08.05,14,12,江浦公园,784,shz4139194,沈阳路41弄,0,,"http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/ded673a0-52ed-4d6a-a8c4-9f8bd2e8f3dd.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/8997f350-1863-4fbc-85b9-1507e6a12670.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/fb20a065-0df2-4210-879d-91f584d39fa9.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160605/f643056a-83f8-46cb-a126-12c7c3cf3c1e.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/c6848d3a-9650-45d8-9e14-0355a65f9d26.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/77c7d607-7c02-4cb6-a1fb-2c6940125f20.jpg_100x75.jpg,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170805/abc1ca62-e215-46bc-b8fd-72ff743964e5.jpg_100x75.jpg",2017-10-07 18:03:52
